Team,Win_Probability,Elo
Spain,23.45,2003.974792155596
Argentina,17.630000000000003,1990.3468123995488
England,7.779999999999999,1896.806427565774
France,7.04,1960.851918654893
Portugal,6.6000000000000005,1897.201127448039
Brazil,6.5600000000000005,1896.356024381447
Netherlands,4.0,1873.450443595784
Mexico,3.4799999999999995,1836.0932443621984
Germany,3.17,1841.3388811433908
Morocco,2.77,1869.400916024536
Croatia,2.48,1865.628753321077
Colombia,2.09,1872.3261687196664
United States,1.63,1737.2302616609245
Ecuador,1.5699999999999998,1838.921400770535
Japan,1.3299999999999998,1851.2875593070976
Uruguay,1.25,1829.436602685861
Senegal,1.24,1843.910327608482
Belgium,1.06,1798.4374887094898
Canada,0.98,1745.205213227482
South Korea,0.66,1802.3908268500552
Turkey,0.63,1818.457616250412
Algeria,0.5599999999999999,1792.2944301495036
Switzerland,0.4,1774.8830945227962
Norway,0.27,1789.6264820556855
Paraguay,0.26,1793.191643645128
Ivory Coast,0.25,1742.662984115489
Austria,0.16,1767.8085536462108
Sweden,0.12,1706.371307144566
Australia,0.12,1817.0220490039449
Egypt,0.11,1735.855200469815
Scotland,0.08,1742.573268204158
Uzbekistan,0.08,1780.052137966083
Iraq,0.06,1728.0376564854068
DR Congo,0.05,1719.683490220228
Panama,0.03,1785.7425885185671
Ghana,0.02,1621.5314987421757
Iran,0.02,1803.0694640777344
Cape Verde,0.01,1660.7304412212948
